id	1	2	3
120	かぶとむし	ウルトラマン大百科	こわめっこしましょ
121	なし	なし	なし
122	ポコポコアイスクリーム	アンパンマンシリーズ	だるまさんがころんだ
123	カラーモンスター	なし	なし
124	なし	なし	なし
125	おふとんかけたら	おしくらまんじゅう	だるまさんシリーズ
126	のらねこぐんだんシリーズ	ゆらしてごらんひつじさん	はたらくのりものえほん
127	だるまさんがころんだ	なし	なし
128	だるまさんシリーズ	ちっちゃなおさかなちゃん	やさいさん
129	ちいさなちいさなシリーズ	ぱんどろぼうシリーズ	ごんちゃん
130	ちびごりらのちびちび	あくたれラルフ	はははのはなし
131	のらねこぐんだんシリーズ	はっしゃしまーす	にゅーとんりきがく
132	だるまさんがころんだ	あなたをあいしてる	そらまめくんのベッド
133	100万回生きたねこ	なし	なし
134	トイストーリー4	だいじだいじ	ない
135	すみっこぐらし	なし	なし
136	いつつごうさぎ	だっこずし	パウパトロール
137	飛び出す絵本	なし	なし
138	なし	なし	なし
139	はしれ!しゅうしゅうしゃ	乗り物図鑑	はやぶさ
140	恐竜図鑑	あのね、サンタのくにではね	さんぽようび
141	コケッコーさんとこいぬのトミー	きんのおのぎんのおの	よるくま
142	わたしのぱん　ぼくのぱん	いろいろ　いろのほん	いろいろのりもののりたいな
143	さるかにばなし	ふみきりかんかんかーん	こんがらがっち
144	おひめさまになれるまほうのとびら	のらねこぐんだんシリーズ	ぱんどろぼうシリーズ
145	100階建てシリーズ	どっちがへん	やさいのおしゃべり
146	なし	なし	なし
147	なし	なし	なし
148	なし	なし	なし
149	だるまさんシリーズ	なし	なし
150	なし	なし	なし
151	はじめてのおつかい	たまごにいちゃん	なし
152	なし	なし	なし
153	ミッケ	はじめてのおつかい	こぐまちゃんシリーズ
154	どこいってん	ゆびたこ	どんどこももんちゃん
155	のらねこぐんだんシリーズ	のらねこぐんだんシリーズ	からすのぱんやさん
156	くさむらのかくれんぼ	はらぺこあおむし	たべものやさんしりとりたいかい
157	バーバパパのシリーズ	なし	なし
158	なつやさいでなにつくろう	わくわくケーキやさん	すてきな三にんぐみ
159	きゅうきゅうしゃのピートくん	まいごのたまご	しんかんせんでゴー
160	はらぺこあおむし	なし	なし
161	うみのほん～たべものリレー～	おすしやさんにいらっしゃい！	だるまちゃんシリーズ
162	なし	なし	なし
163	ほんとにゆめかな	なし	なし
164	ころちゃんどこだ？	大好きって言ってごらん	だるまさんシリーズ
165	なし	なし	なし
166	ももたろう	なし	なし
167	なし	なし	なし
168	くものすおやぶん　とりものちょう	おばけのおもてなし	はらぺこあおむし
169	きょうりゅうのたまご	バスに乗って	ティラノサウルス
170	アンパン	はじめてであうすうがくの絵本	あいうえおの絵本
171	くれよんのくろくんシリーズ	からすのおかしやさん	うずらちゃんのかくれんぼ
172	ぐりとぐらシリーズ	空豆くん	ぱんどろぼうシリーズ
173	どんぐりむらシリーズ	やさいのがっこう	アナと雪の女王
174	お誕生日ケーキ	おいも	ぐりとぐらシリーズ
175	はらぺこあおむし	おべんとうばす	いろ
176	いつつごうさぎ	ぽこぽこ	パウパトロール
177	おばけのやだもん	どうぞのいす	アンパンマンシリーズ
178	なし	なし	なし
179	なし	なし	なし
180	妖怪横丁	おむつのなかみせてみせて	なし
